user,assistant
စိတ်ဖိစီးမှုများနေပါတယ်,စိတ်ဖိစီးမှု ခံစားနေရတာ နားလည်ပါတယ်။ သင့်ရဲ့ ခံစားချက်တွေကို ပြောပြခြင်းက အရေးကြီးပါတယ်။ ဘာကြောင့် ဖိစီးမှုခံစားနေရလဲ ပြောပြနိုင်မလား။
ညဘက် အိပ်မပျောက်ဘူး,အိပ်ရေးပြဿနာက စိတ်ကျန်းမာရေးကို ထိခိုက်စေနိုင်ပါတယ်။ အိပ်ခါနီးမှာ ဖုန်းသုံးတာကို ရပ်ကြည့်ပါ။ နက်နဲစွာ အသက်ရှူ့ခြင်းလည်း အထောက်အကူ ဖြစ်နိုင်ပါတယ်။
အလုပ်က အရမ်းဖိစီးမှုပေးတယ်,အလုပ်ဖိစီးမှုက များသောလူတွေ ကြုံရပါတယ်။ နားချိန်ယူပြီး အားလပ်ရက်မှာ စိတ်ကြိုက်လုပ်ချင်တာလုပ်ကြည့်ပါ။ သင့်ကျန်းမာရေးက အရေးကြီးဆုံးပါ။
စိုးရိမ်စိတ် အမြဲရှိနေတယ်,စိုးရိမ်စိတ်က ခန္ဓာကိုယ်နဲ့ စိတ်နှစ်ခုစလုံးကို ပင်ပန်းစေပါတယ်။ Mindfulness လေ့ကျင့်ခြင်း၊ အသက်ရှူ့ခြင်း နည်းလမ်းတွေ စမ်းကြည့်နိုင်ပါတယ်။
ခေါင်းကိုက်ပြီး အိပ်မရဘူး,စိတ်ဖိစီးမှုက ခေါင်းကိုက်ခြင်းနှင့် အိပ်ရေးပြဿနာ ဖြစ်စေတတ်ပါတယ်။ ရေသောက်ပါ၊ လေလှုပ်ရှားတဲ့နေရာမှာ နားပါ။ အနားယူချိန် လိုအပ်ပါတယ်။
ဘာမှ စိတ်မဝင်စားတော့ဘူး,စိတ်မဝင်စားခြင်းက စိတ်ဓာတ်ကျရောဂါ လက္ခဏာတစ်ခု ဖြစ်နိုင်ပါတယ်။ အရင်ကြိုက်တဲ့ အရာတွေကို ပြန်လုပ်ကြည့်ပါ။ အကူအညီ တောင်းခြင်းက အားနည်းခြင်း မဟုတ်ပါဘူး။
အားမရဘူး ဘာမှမလုပ်ချင်ဘူး,စွမ်းအင်ကုန်နေတာက စိတ်ကျန်းမာရေး ပြဿနာ ဖြစ်နိုင်ပါတယ်။ အသေးငယ်ဆုံး ပန်းတိုင်တွေကို စတင်ပါ။ လမ်းလျှောက်ခြင်း၊ နေရောင်ထိတွေ့ခြင်း စတာတွေက အထောက်အကူ ဖြစ်နိုင်ပါတယ်။
ငါ့ကိုယ်ငါ တန်ဖိုးမရှိဘူး ထင်တယ်,မိမိကိုယ်ကို တန်ဖိုးမထားခြင်းက နာကျင်စေပါတယ်။ သင်သည် အထူးဖြစ်ပြီး တန်ဖိုးရှိပါတယ်။ သင့်ရဲ့ ကောင်းတဲ့အရည်အသွေးတွေကို စာရင်းလုပ်ကြည့်ပါ။
မကြာခဏ ငိုချင်နေတယ်,ငိုချင်တဲ့ခံစားချက်က သင့်ရဲ့ စိတ်ခံစားမှုတွေကို ဖော်ပြနေတာပါ။ ငိုခြင်းက မှားတာမဟုတ်ဘူး၊ ကျန်းမာပါတယ်။ သင့်ခံစားချက်တွေကို ထုတ်ဖော်ခွင့် ရှိပါတယ်။
ဘဝမှာ အဓိပ္ပာယ်မရှိဘူး,ဘဝက အဓိပ္ပာယ်မရှိဘူး ခံစားရတာ စိတ်ဓာတ်ကျစေပါတယ်။ သေးသေးလေးတွေကနေ စပါ - တစ်နေ့မှာ ပျော်ရွှင်စရာ တစ်ခုခု ရှာကြည့်ပါ။
