user,assistant
I think lonely.,I understand. It’s okay to feel this way. You’re not alone.
Yes,I understand. It’s okay to feel this way. You’re not alone.
I feel hopeless for my future and I don't know what should I do for my career.,I understand. It’s okay to feel this way. You’re not alone.
Future,I understand. It’s okay to feel this way. You’re not alone.
"I feel stressed and sometimes sad. I worry about many things and it is hard to stay calm. I also feel lonely sometimes and don’t know how to talk about my feelings.
",I understand. It’s okay to feel this way. You’re not alone.
"Lately, I've been feeling overwhelmed and anxious because of school and personal responsibilities. Sometimes I find it hard to stay focused or motivated, and I easily get stressed when things don't go as planned. I also struggle with overthinking and self- doubt.",I understand. It’s okay to feel this way. You’re not alone.
procrastination ,I understand. It’s okay to feel this way. You’re not alone.
Working,I understand. It’s okay to feel this way. You’re not alone.
Mostly anxiety and stress,I understand. It’s okay to feel this way. You’re not alone.
Overthing or obsessive thinking,I understand. It’s okay to feel this way. You’re not alone.
"Anxiety,worrying ",I understand. It’s okay to feel this way. You’re not alone.
I sometimes feel anxious and overthink small things. I also get stressed easily when I have too much to do or when things don’t go as planned.,I understand. It’s okay to feel this way. You’re not alone.
I’m facing about the choosing career and getting the good job after graduation. Which country do I have to go after my bachelor’s.,I understand. It’s okay to feel this way. You’re not alone.
"Sometimes I struggle with depression. There are moments when I can’t really control how I feel, and it gets heavy. I often blame myself for it, even though deep down I know it’s not really my fault.",I understand. It’s okay to feel this way. You’re not alone.
"Anxiety, Worries, Uncertainty",I understand. It’s okay to feel this way. You’re not alone.
Family problem ,I understand. It’s okay to feel this way. You’re not alone.
I think so ,I understand. It’s okay to feel this way. You’re not alone.
Talking to my friends and family who I love,I understand. It’s okay to feel this way. You’re not alone.
To earn much more money will help my mental health better.,I understand. It’s okay to feel this way. You’re not alone.
leave me alone ,I understand. It’s okay to feel this way. You’re not alone.
I don't know,I understand. It’s okay to feel this way. You’re not alone.
Talking to someone I trust and getting enough rest would help me feel better. Spending time with friends and doing things I enjoy also help me manage my mental health.,I understand. It’s okay to feel this way. You’re not alone.
"Having a more balanced schedule and enough rest would help. Spending more time with supportive friends, doing things I enjoy like reading or listening to music, and talking to someone I trust about how I feel would also make a difference.",I understand. It’s okay to feel this way. You’re not alone.
take a break from using electronic device,I understand. It’s okay to feel this way. You’re not alone.
Stay alone ,I understand. It’s okay to feel this way. You’re not alone.
Motivate,I understand. It’s okay to feel this way. You’re not alone.
"Sleeping ,rest,doing what I love",I understand. It’s okay to feel this way. You’re not alone.
"Ofc,Big Money ",I understand. It’s okay to feel this way. You’re not alone.
"Taking some rest, spending time with people I trust, listening to music, and doing things I enjoy really help me feel better.",I understand. It’s okay to feel this way. You’re not alone.
Trying hard to get a job and making the decision that I want to do,I understand. It’s okay to feel this way. You’re not alone.
"Having someone who listens without judging helps a lot. Taking small breaks, getting enough rest, and having people around who understand my quiet moments would also make it easier to manage.",I understand. It’s okay to feel this way. You’re not alone.
"Eating, I think. I can lose a ton of stresses when I had my favorite food or the food I wanna eat at that time.",I understand. It’s okay to feel this way. You’re not alone.
Pray,I understand. It’s okay to feel this way. You’re not alone.
Listen music,I understand. It’s okay to feel this way. You’re not alone.
I just feel lonely sometime because I can't meet with people I love in person.,I understand. It’s okay to feel this way. You’re not alone.
"Sometimes I feel stressed and lonely, but I try to stay positive. I want to learn better ways to take care of my mind and emotions.",I understand. It’s okay to feel this way. You’re not alone.
I'm learning to take better care of myself and to accept that it's okay to ask for help.I'm trying to focus more on positive habits and to be kinder to myself during difficult times.,I understand. It’s okay to feel this way. You’re not alone.
"No matter how tired, broken, or in pain I am, I never harm myself. I pray and find strength in God. That gives me peace.


",I understand. It’s okay to feel this way. You’re not alone.
"I’m trying to stay positive and take care of myself more. Even though it’s not always easy, I’m learning to handle my emotions better.",I understand. It’s okay to feel this way. You’re not alone.
"My mental health is good, I relax myself and sometimes I just rest from the situation where I’m feeling overwhelmed. Sometimes I let go of things that will hurt me. ",I understand. It’s okay to feel this way. You’re not alone.
"I’m trying my best to take care of myself, even when it feels difficult. I just hope to keep finding ways to stay balanced and not be too hard on myself.",I understand. It’s okay to feel this way. You’re not alone.
"Most of them comes from my uncertain future and uncertain careers, so I hope that would disappear by itself over time.",I understand. It’s okay to feel this way. You’re not alone.
Praise more Jesus,I understand. It’s okay to feel this way. You’re not alone.
I won't go public place ,I understand. It’s okay to feel this way. You’re not alone.
I remember going to the fireworks with my best friend. There was a lot of people_comma_ but it only felt like us in the world.,I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.
My girlfriend got me a toad today! I was so shocked and happy!,My girlfriend got me a pet toad today!
I really like the new paint job on my house.,I really like the new paint job on my house.
I went to the skating rink all by myself today because my friends ditched me. I was so sad.,I went to the skating rink all by myself today because my friends ditched me.
I was walking on the road. I saw beggar and i did not help him,I was walking on the road. I saw a beggar and i didn't help him.
Eating someone's cake at work only to realize that there wasn't anymore left for them,I ate my co-worker's cake_comma_ which was in the fridge
I was able to pull up on the internet pictures from where I lived as a kid. I felt like I was right back there.,I was able to pull up on the internet pictures from where I lived as a kid. I felt like I was right back there.
My little cousin gifted me for my birthday. I was so happy. He spent for me from his savings,My little cousin gifted me for my birthday
I am happy with my current employer. Even though am getting a new job offer.,I am happy with my current employer. even though am getting a new jon offers
I am so mad my flight got canceled.,I am so mad my flight got canceled.
I am not able to pay for my mortgage. I think i will loose my home,I am not able to pay for my mortgage. I think i will lose my home
Last week when my first daughter was born after a complicated pregnancy and almost having her being born in the car,Last week my daughter was born
I found my old diary in basement. It brought back lot of memories,I found my old diary in the basement. It brought lot of memories
I'm not ready for the long 9 hour drive.,Boy this weekend is going to be hell
I am so mad that I forgot my money at home.,I am so mad that I forgot my money at home.
I really am mad at my brother.,I am really mad at my brother.
I have a hot date this weekend!,I have a hot date this weekend.
When I think about a certain even with my parents that involved a dinner party_comma_ I get very nostalgic. I just think it was a fun time and I miss it,I get nostalgic when I think about times with my parents in the past. A lot of different get togethers make me feel that way
I know I will get my bonus this quarter.,I know I will get my bonus this quarter.
I am so ready for Thursday.,I am so ready for Thursday.
I really appreciate my wife. I know I can depend on her for anything_comma_ which is comforting.,I really love my wife so much!
I am ok with coming in third in my race.,I am ok with coming in third in my race.
I was the one who stole the camera from the studio.,I was the one who stole the camera from the studio.
Aliens landed in my back yard,Something weird just happened
In the past month_comma_ i had three interviews for a job. None has called me back. I think i am just an incapable individual,I had three interviews in the past month for a job. Unfortunately_comma_ none has called me back. Very disappointed in myself for being so clumsy and incapable
My pet toad died_comma_ I am sad.,My pet toad died_comma_ I am so sad.
I got all of my housework done. For the rest of the day I am satisfied to just relax and do whatever I want.,I got all of my housework done. For the rest of the day I am satisfied to just relax and do whatever I want.
I won then lottery_comma_ I never have to work again.,I won the lottery_comma_ I never have to work again.
I am heartbroken that Lebron left for LA,Lebron needs to stay in Cleveland
My husband has never planned a date on his own since we were married. This weekend he is taking me on a trip_comma_ I'm so excited.,My husband hasn't planned a date for the two of us since we were married. Usually he looks for my input. I just found out that he is taking me somewhere special for the weekend. I can't wait!
I was confident when I won honor society preisdent in high school_comma_ I beat a really popular girl,I was confident when I won honor society preisdent in high school_comma_ I beat a really popular girl
It felt good when Lebron left the Cavs for the Lakers,It felt good when Lebron left the Cavs for the Lakers
When I studied all night for a test in science in high school_comma_ I felt confident. I just knew I was going to do well,I felt confident when I was able to study all night for a science test. I just knew I was going to do well
